# OSU MPI-ROCM Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      15.36
2                      15.55
4                      15.64
8                      16.34
16                     17.37
32                     17.42
64                     49.41
128                    50.58
256                    67.35
512                    66.76
1024                   65.10
2048                  112.54
4096                  167.69
8192                  281.19
16384                 547.97
32768                 997.50
65536                3378.74
131072               8583.29
262144              18958.99
524288              39874.35
1048576             83898.21
