# OSU MPI-ROCM Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      21.95
2                      21.22
4                      21.61
8                      23.17
16                     24.58
32                     26.29
64                     52.62
128                    53.25
256                    36.47
512                    38.95
1024                   40.93
2048                   74.91
4096                  107.28
8192                  148.79
16384                 305.89
32768                 561.41
65536                1414.37
131072               2169.27
262144               3172.32
524288               5517.70
1048576             10607.16
