# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      35.82
2                      36.14
4                      36.72
8                      37.66
16                     38.12
32                     47.92
64                     94.01
128                    91.92
256                   310.24
512                    66.59
1024                   67.30
2048                   68.21
4096                   72.65
8192                   83.98
16384                 106.27
32768                 157.25
65536                 294.21
131072                584.82
262144               1175.66
524288               2905.54
1048576              5770.77
