# OSU MPI-ROCM All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      30.29
2                      30.57
4                      30.75
8                      31.63
16                     34.00
32                     34.02
64                    175.79
128                   227.34
256                   336.41
512                   109.33
1024                  111.60
2048                  115.21
4096                  139.75
8192                  149.92
16384                 155.10
32768                 186.15
65536                 260.22
131072                425.12
262144                775.71
524288               1599.72
1048576              3613.33
