# OSU MPI-CUDA Bi-Directional Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)        Validation
1                       1.52              Pass
2                       3.07              Pass
4                       6.15              Pass
8                      12.36              Pass
16                     24.69              Pass
32                     49.56              Pass
64                     98.57              Pass
128                   195.84              Pass
256                   399.97              Pass
512                   806.23              Pass
1024                 1586.61              Pass
2048                 3171.67              Pass
4096                 6338.82              Pass
8192                11985.22              Pass
16384               23678.40              Pass
32768               30673.77              Pass
65536               35838.99              Pass
131072              39715.23              Pass
262144              43408.70              Pass
524288              44501.07              Pass
1048576             45043.42              Pass
2097152             45469.11              Pass
4194304             46079.13              Pass
