# OSU MPI All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)        Validation
1                      12.20              Pass
2                      12.02              Pass
4                      11.97              Pass
8                      11.94              Pass
16                     11.94              Pass
32                     11.97              Pass
64                     12.02              Pass
128                    12.32              Pass
256                    13.14              Pass
512                    13.18              Pass
1024                   13.36              Pass
2048                   13.51              Pass
4096                   13.81              Pass
8192                   14.47              Pass
16384                  16.16              Pass
32768                  22.52              Pass
65536                  33.76              Pass
131072                 56.34              Pass
262144                102.14              Pass
524288                215.80              Pass
1048576               523.41              Pass
