# OSU NCCL-CUDA All-to-All Personalized Exchange Latency Test v7.5.2
# Size       Avg Latency(us)
1                     390.03
2                     386.59
4                     391.08
8                     389.47
16                    390.50
32                    389.65
64                    388.99
128                   385.06
256                   359.90
512                   362.46
1024                  372.74
2048                  391.28
4096                  407.60
8192                  438.49
16384                 516.24
32768                 710.92
65536                1212.65
131072               1599.53
262144               2919.23
524288               5566.82
1048576             11106.10
