# OSU NCCL-CUDA Allgather Latency Test v7.5.2
# Size       Avg Latency(us)
1                     158.93
2                     157.19
4                     158.36
8                     156.87
16                    157.26
32                    156.24
64                    159.76
128                   166.22
256                   169.20
512                   182.62
1024                  210.66
2048                  240.43
4096                  290.26
8192                  500.18
16384                 721.09
32768                 787.58
65536                 801.37
131072                803.23
262144               1024.26
524288               1649.29
1048576              2892.11
