# OSU MPI Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)        Validation
1                      17.63              Pass
2                      17.63              Pass
4                      17.61              Pass
8                      18.14              Pass
16                     20.32              Pass
32                     22.36              Pass
64                     23.58              Pass
128                    24.27              Pass
256                    24.43              Pass
512                    23.52              Pass
1024                   25.63              Pass
2048                   29.83              Pass
4096                   36.68              Pass
8192                   51.50              Pass
16384                  78.18              Pass
32768                 128.68              Pass
65536                 203.13              Pass
131072                365.16              Pass
262144                717.06              Pass
524288               1355.58              Pass
1048576              2718.81              Pass
