# OSU NCCL-CUDA Allreduce Latency Test v7.5.2
# Size       Avg Latency(us)
4                      17.11
8                      16.06
16                     15.86
32                     16.46
64                     17.04
128                    17.10
256                    17.14
512                    17.19
1024                   17.21
2048                   17.31
4096                   17.46
8192                   17.88
16384                  18.71
32768                  18.93
65536                  19.09
131072                 19.65
262144                 20.06
524288                 22.98
1048576                26.15
