# OSU MPI Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)        Validation
1                      21.69              Pass
2                      21.84              Pass
4                      22.24              Pass
8                      24.29              Pass
16                     25.64              Pass
32                     27.69              Pass
64                     28.99              Pass
128                    29.82              Pass
256                    28.55              Pass
512                    30.02              Pass
1024                   34.62              Pass
2048                   42.35              Pass
4096                   57.10              Pass
8192                   82.89              Pass
16384                 131.77              Pass
32768                 202.93              Pass
65536                 356.24              Pass
131072                661.06              Pass
262144               1292.95              Pass
524288               2498.04              Pass
1048576              5017.72              Pass
