# OSU NCCL-CUDA Allreduce Latency Test v7.5.2
# Size       Avg Latency(us)
4                      25.06
8                      23.82
16                     23.51
32                     23.61
64                     24.85
128                    24.97
256                    25.22
512                    25.81
1024                   27.10
2048                   28.17
4096                   31.69
8192                   34.21
16384                  39.91
32768                  72.79
65536                 116.38
131072                149.46
262144                173.09
524288                181.92
1048576               189.71
