# OSU MPI All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)        Validation
1                       2.71              Pass
2                       2.77              Pass
4                       2.75              Pass
8                       2.77              Pass
16                      3.06              Pass
32                      3.03              Pass
64                      3.17              Pass
128                     3.10              Pass
256                     3.34              Pass
512                     9.66              Pass
1024                    9.75              Pass
2048                    9.68              Pass
4096                    9.91              Pass
8192                   10.19              Pass
16384                  10.52              Pass
32768                  13.62              Pass
65536                  16.35              Pass
131072                 25.23              Pass
262144                 42.39              Pass
524288                134.96              Pass
1048576               206.98              Pass
