# OSU MPI-CUDA Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      81.54
2                      80.22
4                      79.58
8                      81.04
16                     81.58
32                     82.71
64                     84.02
128                    85.80
256                    88.27
512                    88.72
1024                   91.82
2048                   95.24
4096                  106.09
8192                  119.02
16384                 148.01
32768                 203.29
65536                 354.14
131072                912.65
262144               2080.71
524288               4223.38
1048576              9019.70
