# OSU NCCL-CUDA All-to-All Personalized Exchange Latency Test v7.5.2
# Size       Avg Latency(us)
1                      15.73
2                      15.30
4                      15.23
8                      15.17
16                     15.26
32                     15.48
64                     15.20
128                    15.24
256                    15.18
512                    15.17
1024                   15.22
2048                   15.31
4096                   15.76
8192                   16.43
16384                  17.69
32768                  20.11
65536                  21.45
131072                 21.82
262144                 23.03
524288                 25.91
1048576                31.57
