# OSU MPI All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)        Validation
1                      10.14              Pass
2                      10.13              Pass
4                      10.17              Pass
8                      10.12              Pass
16                     10.13              Pass
32                     10.17              Pass
64                     10.32              Pass
128                    10.49              Pass
256                    17.25              Pass
512                    17.29              Pass
1024                   17.63              Pass
2048                   19.30              Pass
4096                   20.73              Pass
8192                   13.25              Pass
16384                  13.01              Pass
32768                  14.27              Pass
65536                  17.30              Pass
131072                 25.98              Pass
262144                 42.29              Pass
524288                114.53              Pass
1048576               199.48              Pass
