# OSU MPI-CUDA All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                     638.62
2                     638.70
4                     636.77
8                     638.36
16                    647.18
32                    643.01
64                    647.23
128                   650.97
256                   654.58
512                   458.71
1024                  467.96
2048                  490.15
4096                  507.30
8192                  521.84
16384                 556.87
32768                 641.19
65536                 809.15
131072               9395.37
262144              15806.40
524288              22535.44
1048576             36873.55
