# OSU NCCL-CUDA Allreduce Latency Test v7.5.2
# Size       Avg Latency(us)
4                      31.81
8                      31.11
16                     31.27
32                     31.26
64                     33.78
128                    33.78
256                    34.26
512                    35.25
1024                   38.76
2048                   40.49
4096                   46.76
8192                   52.95
16384                  63.85
32768                  90.03
65536                 162.92
131072                228.40
262144                308.89
524288                356.19
1048576               373.67
