# OSU NCCL-CUDA All-to-All Personalized Exchange Latency Test v7.5.2
# Size       Avg Latency(us)
1                     396.70
2                     394.82
4                     391.48
8                     389.30
16                    390.43
32                    391.37
64                    387.98
128                   390.06
256                   369.19
512                   370.71
1024                  377.80
2048                  396.99
4096                  409.13
8192                  441.77
16384                 546.57
32768                 666.19
65536                1064.25
131072               1791.40
262144               4424.72
524288              22431.87
1048576             15225.96
