# OSU MPI-CUDA Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      42.02
8                      41.45
16                     48.98
32                     49.01
64                     50.20
128                    52.63
256                    55.68
512                    56.52
1024                   58.61
2048                   61.02
4096                   68.92
8192                   70.45
16384                  77.36
32768                  89.15
65536                 116.75
131072                139.42
262144                241.54
524288                386.77
1048576               717.57
