# OSU NCCL-CUDA All-to-All Personalized Exchange Latency Test v7.5.2
# Size       Avg Latency(us)
1                      58.53
2                      58.17
4                      58.04
8                      58.48
16                     58.41
32                     58.39
64                     58.05
128                    57.06
256                    56.80
512                    57.38
1024                   57.55
2048                   60.94
4096                   61.40
8192                   63.97
16384                  68.93
32768                  78.44
65536                 105.26
131072                141.67
262144                243.82
524288                451.21
1048576               786.67
