# OSU MPI-CUDA Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      52.60
8                      51.96
16                     51.84
32                     51.90
64                     66.72
128                    71.17
256                    74.75
512                    76.31
1024                   79.01
2048                   82.43
4096                   91.72
8192                   94.49
16384                 103.66
32768                 122.69
65536                 167.33
131072                250.15
262144                375.79
524288                606.41
1048576              1161.95
