# OSU NCCL-CUDA Allreduce Latency Test v7.5.2
# Size       Avg Latency(us)
4                      41.84
8                      42.53
16                     42.58
32                     40.65
64                     46.48
128                    44.64
256                    45.18
512                    46.67
1024                   52.73
2048                   54.58
4096                   65.97
8192                   74.11
16384                  89.14
32768                 130.58
65536                 174.48
131072                147.41
262144                230.78
524288                390.26
1048576               767.69
