# OSU MPI Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)        Validation
1                       2.71              Pass
2                       2.77              Pass
4                       2.71              Pass
8                       2.80              Pass
16                      2.97              Pass
32                      3.04              Pass
64                      3.27              Pass
128                     3.36              Pass
256                     6.58              Pass
512                     8.87              Pass
1024                    9.53              Pass
2048                   10.06              Pass
4096                   10.73              Pass
8192                   11.90              Pass
16384                  15.54              Pass
32768                  21.22              Pass
65536                  32.76              Pass
131072                 65.46              Pass
262144                122.89              Pass
524288                234.32              Pass
1048576               471.03              Pass
