# OSU MPI All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)        Validation
1                      22.07              Pass
2                      21.81              Pass
4                      30.77              Pass
8                      30.77              Pass
16                     32.42              Pass
32                     35.58              Pass
64                     35.80              Pass
128                    36.61              Pass
256                    37.66              Pass
512                    22.74              Pass
1024                   22.99              Pass
2048                   23.11              Pass
4096                   23.43              Pass
8192                   24.28              Pass
16384                  29.73              Pass
32768                  38.94              Pass
65536                  63.91              Pass
131072                113.74              Pass
262144                229.94              Pass
524288                470.90              Pass
1048576              1151.98              Pass
