# OSU MPI Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)        Validation
1                      25.66              Pass
2                      25.92              Pass
4                      27.97              Pass
8                      29.32              Pass
16                     30.55              Pass
32                     32.49              Pass
64                     34.47              Pass
128                    33.60              Pass
256                    34.78              Pass
512                    39.82              Pass
1024                   47.07              Pass
2048                   61.77              Pass
4096                   87.48              Pass
8192                  135.30              Pass
16384                 217.25              Pass
32768                 354.16              Pass
65536                 648.88              Pass
131072               1239.13              Pass
262144               2441.56              Pass
524288               4781.86              Pass
1048576              9581.00              Pass
