# OSU NCCL-CUDA Allgather Latency Test v7.5.2
# Size       Avg Latency(us)
1                      55.21
2                      54.37
4                      54.48
8                      54.43
16                     53.52
32                     53.12
64                     54.37
128                    55.85
256                    55.98
512                    57.72
1024                   63.22
2048                   68.62
4096                   75.70
8192                  118.19
16384                 154.41
32768                 189.31
65536                 187.23
131072                191.92
262144                241.49
524288                383.01
1048576               704.88
