# OSU NCCL-CUDA Allgather Latency Test v7.5.2
# Size       Avg Latency(us)
1                      16.08
2                      15.36
4                      15.27
8                      15.25
16                     15.29
32                     15.21
64                     15.21
128                    15.18
256                    15.23
512                    15.22
1024                   15.30
2048                   15.71
4096                   16.88
8192                   17.10
16384                  17.60
32768                  17.88
65536                  18.21
131072                 19.93
262144                 22.39
524288                 27.48
1048576                43.38
