# OSU MPI All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)        Validation
1                      15.89              Pass
2                      15.64              Pass
4                      15.66              Pass
8                      15.62              Pass
16                     15.67              Pass
32                     15.67              Pass
64                     15.69              Pass
128                    15.91              Pass
256                    20.88              Pass
512                    21.34              Pass
1024                   22.97              Pass
2048                   24.97              Pass
4096                   26.24              Pass
8192                   18.92              Pass
16384                  21.06              Pass
32768                  30.44              Pass
65536                  39.26              Pass
131072                 65.65              Pass
262144                102.22              Pass
524288                218.27              Pass
1048576               464.24              Pass
