# OSU MPI-CUDA Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      50.63
8                      49.86
16                     50.01
32                     62.19
64                     62.31
128                    63.36
256                    71.26
512                    74.44
1024                   80.39
2048                   86.30
4096                   98.97
8192                  102.47
16384                 110.85
32768                 132.46
65536                 154.01
131072                239.43
262144                394.57
524288                717.43
1048576              1353.06
