# OSU MPI-CUDA Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                     115.59
2                     114.33
4                     116.21
8                     117.23
16                    119.80
32                    121.62
64                    124.19
128                   134.27
256                   141.22
512                   149.26
1024                  162.81
2048                  177.98
4096                  212.30
8192                  272.19
16384                 541.97
32768                 894.57
65536                1840.64
131072               4132.55
262144               8690.81
524288              88190.11
1048576            168692.29
