# OSU MPI-CUDA Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      48.23
8                      47.18
16                     47.45
32                     57.61
64                     57.86
128                    62.14
256                    65.50
512                    67.46
1024                   69.33
2048                   72.57
4096                   81.31
8192                   83.61
16384                  90.85
32768                 104.59
65536                 135.29
131072                194.92
262144                376.89
524288                503.76
1048576               953.96
