# OSU NCCL-CUDA Allreduce Latency Test v7.5.2
# Size       Avg Latency(us)
4                      23.53
8                      23.27
16                     23.97
32                     23.65
64                     25.34
128                    24.82
256                    25.16
512                    25.51
1024                   26.98
2048                   28.18
4096                   31.48
8192                   34.18
16384                  39.87
32768                  72.41
65536                 116.17
131072                156.75
262144                177.62
524288                179.72
1048576               187.24
