# OSU MPI-CUDA All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                     639.39
2                     637.80
4                     637.91
8                     640.25
16                    641.25
32                    641.60
64                    642.37
128                   644.95
256                   648.02
512                   463.23
1024                  462.48
2048                  476.02
4096                  486.08
8192                  496.33
16384                 522.98
32768                 582.70
65536                 702.97
131072               6857.32
262144              14497.25
524288              21360.65
1048576             34382.95
