# OSU MPI-CUDA Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      56.43
2                      55.07
4                      54.76
8                      55.34
16                     55.64
32                     57.87
64                     57.65
128                    60.57
256                    64.28
512                    67.53
1024                   73.30
2048                   77.09
4096                   82.35
8192                   96.46
16384                 123.26
32768                 143.19
65536                 200.46
131072                461.32
262144                879.11
524288               1802.84
1048576              3867.52
