# OSU MPI Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)        Validation
1                       2.72              Pass
2                       2.73              Pass
4                       2.72              Pass
8                       2.71              Pass
16                      2.71              Pass
32                      2.72              Pass
64                      2.75              Pass
128                     3.48              Pass
256                     3.48              Pass
512                     3.57              Pass
1024                    3.70              Pass
2048                    3.80              Pass
4096                    4.27              Pass
8192                    4.76              Pass
16384                   5.77              Pass
32768                  11.41              Pass
65536                  12.82              Pass
131072                 15.60              Pass
262144                 20.97              Pass
524288                 31.81              Pass
1048576                53.35              Pass
2097152                96.77              Pass
4194304               182.85              Pass
