# OSU MPI Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                       8.08
8                       8.06
16                      8.02
32                      7.89
64                      8.23
128                     8.57
256                    12.51
512                    13.15
1024                   14.45
2048                   15.32
4096                   16.11
8192                   29.38
16384                  31.15
32768                  36.38
65536                  45.80
131072                 65.34
262144                 93.00
524288                177.22
1048576               371.86
