# OSU MPI-CUDA Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      56.39
8                      55.65
16                     55.02
32                     54.64
64                     71.31
128                    73.83
256                    80.08
512                    83.36
1024                   89.68
2048                  100.20
4096                  102.59
8192                  117.59
16384                 137.41
32768                 159.26
65536                 198.83
131072                264.50
262144                415.52
524288                623.91
1048576              1114.82
