# OSU MPI All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       3.12
2                       3.21
4                       3.22
8                       3.30
16                      4.23
32                      4.26
64                      4.42
128                     4.71
256                     4.85
512                     9.12
1024                    9.06
2048                    8.92
4096                    9.18
8192                    9.12
16384                   9.98
32768                  14.20
65536                  16.17
131072                 22.73
262144                 37.98
524288                142.35
1048576               204.50
