# OSU MPI-CUDA Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      48.62
2                      48.42
4                      50.28
8                      51.75
16                     53.19
32                     55.77
64                     58.93
128                    62.40
256                    70.67
512                    77.27
1024                   91.31
2048                  101.50
4096                  134.99
8192                  192.89
16384                 299.90
32768                 794.10
65536                2310.84
131072               4918.97
262144              10145.78
524288              81189.89
1048576            152964.22
