# OSU MPI All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       9.40
2                       9.21
4                       9.14
8                       8.98
16                      9.09
32                      9.05
64                      9.66
128                     9.58
256                    15.15
512                    15.45
1024                   16.27
2048                   17.36
4096                   18.62
8192                   12.19
16384                  12.50
32768                  13.24
65536                  14.95
131072                 21.49
262144                 38.58
524288                130.42
1048576               213.26
