# OSU MPI Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       7.28
2                       6.96
4                       6.92
8                       6.91
16                      6.93
32                      6.97
64                      7.11
128                     9.54
256                     9.43
512                     9.57
1024                    9.81
2048                   10.22
4096                   13.41
8192                   17.24
16384                  19.00
32768                  21.98
65536                  27.08
131072                 37.01
262144                 56.72
524288                 99.44
1048576               188.99
