# OSU MPI-CUDA Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      30.50
2                      29.78
4                      29.82
8                      29.85
16                     29.86
32                     30.21
64                     30.34
128                    31.40
256                    34.70
512                    36.51
1024                   38.03
2048                   39.85
4096                   38.81
8192                   43.11
16384                  48.64
32768                  56.03
65536                  68.12
131072                105.51
262144                154.56
524288                255.67
1048576               467.84
