# OSU MPI-CUDA All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      29.38
2                      28.23
4                      28.16
8                      28.22
16                     28.27
32                     28.41
64                     28.66
128                    29.15
256                    30.30
512                    31.29
1024                   31.96
2048                   32.56
4096                   33.01
8192                   37.65
16384                  46.24
32768                  45.85
65536                  52.81
131072                 76.01
262144                104.59
524288                265.83
1048576               360.74
