# OSU MPI Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       8.32
2                       8.33
4                       8.23
8                       8.21
16                      8.29
32                      8.51
64                      8.59
128                    10.08
256                    12.72
512                    13.66
1024                   15.02
2048                   16.04
4096                   17.22
8192                   17.62
16384                  21.24
32768                  30.06
65536                  44.92
131072                 72.90
262144                140.29
524288                292.32
1048576               584.14
