# OSU MPI-CUDA Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      54.14
8                      53.38
16                     53.08
32                     52.72
64                     67.68
128                    72.21
256                    75.56
512                    77.49
1024                   79.91
2048                   83.36
4096                   87.83
8192                  107.80
16384                 130.32
32768                 150.51
65536                 185.40
131072                247.18
262144                401.42
524288                580.31
1048576              1059.82
