# OSU MPI Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      30.52
8                      31.19
16                     30.10
32                     30.17
64                     44.78
128                    49.07
256                    52.47
512                    54.34
1024                   56.44
2048                   58.13
4096                   61.20
8192                   77.74
16384                  89.55
32768                 108.42
65536                 145.01
131072                206.82
262144                342.86
524288                521.25
1048576               923.59
