# OSU NCCL-CUDA All-to-All Personalized Exchange Latency Test v7.5.2
# Size       Avg Latency(us)
1                      15.06
2                      14.99
4                      14.95
8                      14.98
16                     14.92
32                     14.98
64                     14.96
128                    14.99
256                    14.85
512                    14.90
1024                   14.96
2048                   15.14
4096                   15.59
8192                   16.39
16384                  17.65
32768                  19.70
65536                  21.45
131072                 21.82
262144                 23.04
524288                 25.73
1048576                31.89
