# OSU MPI All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      51.72
2                      51.37
4                      51.01
8                      51.06
16                     50.45
32                     50.87
64                    105.41
128                   106.28
256                   108.47
512                   112.89
1024                  118.27
2048                  170.52
4096                  185.16
8192                  208.62
16384                 255.89
32768                 355.04
65536                 574.99
131072               1070.33
262144               2079.52
524288               4260.36
1048576              8670.71
