# OSU MPI Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                       6.33
8                       6.34
16                      6.25
32                      6.20
64                      6.31
128                     6.61
256                     6.89
512                    17.73
1024                   41.40
2048                   37.30
4096                   74.84
8192                   77.64
16384                  82.24
32768                  80.60
65536                  95.50
131072                118.67
262144                153.98
524288                258.49
1048576               574.84
