# OSU MPI Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      29.93
2                      29.94
4                      28.72
8                      28.81
16                     30.15
32                     32.26
64                     32.91
128                    33.28
256                    33.71
512                    43.53
1024                   64.06
2048                   69.06
4096                   72.41
8192                   83.50
16384                 101.54
32768                 131.79
65536                 189.39
131072                309.30
262144                544.16
524288               1024.47
1048576              2017.37
