# OSU MPI-CUDA Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      38.86
8                      37.62
16                     37.66
32                     37.70
64                     37.93
128                    39.09
256                    43.03
512                    45.04
1024                   66.98
2048                   71.15
4096                  111.14
8192                  117.84
16384                 123.06
32768                 125.24
65536                 136.68
131072                126.39
262144                129.89
524288                135.30
1048576               150.99
