# OSU NCCL-CUDA All-to-All Personalized Exchange Latency Test v7.5.2
# Size       Avg Latency(us)
1                      16.40
2                      15.81
4                      15.81
8                      15.77
16                     15.77
32                     15.75
64                     15.80
128                    15.78
256                    15.74
512                    15.76
1024                   15.81
2048                   15.94
4096                   16.39
8192                   17.10
16384                  18.43
32768                  20.60
65536                  22.46
131072                 22.96
262144                 23.60
524288                 26.44
1048576                32.44
