# OSU MPI-CUDA Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      48.91
2                      46.00
4                      45.76
8                      47.07
16                     48.83
32                     51.12
64                     52.51
128                    53.37
256                    54.99
512                    66.79
1024                   88.09
2048                   93.68
4096                  105.06
8192                  124.34
16384                 155.82
32768                1125.36
65536                1151.44
131072               1256.31
262144               1361.72
524288               2036.53
1048576              3397.01
