# OSU MPI-CUDA All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      63.41
2                      62.98
4                      63.04
8                      63.05
16                     63.26
32                     63.16
64                     63.34
128                    63.39
256                    63.68
512                    63.95
1024                   58.54
2048                   58.67
4096                   59.07
8192                   59.50
16384                  59.48
32768                  60.45
65536                  61.39
131072                 63.19
262144                 67.38
524288                 73.19
1048576                85.90
