# OSU NCCL-CUDA Allgather Latency Test v7.5.2
# Size       Avg Latency(us)
1                     154.53
2                     154.00
4                     150.88
8                     150.32
16                    150.45
32                    151.13
64                    151.60
128                   153.85
256                   159.49
512                   166.80
1024                  180.57
2048                  187.20
4096                  218.27
8192                  396.54
16384                 529.75
32768                 476.79
65536                 591.36
131072                932.87
262144               1378.38
524288               1577.57
1048576              2867.06
