# OSU MPI-CUDA Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      45.18
2                      44.82
4                      44.56
8                      44.48
16                     44.61
32                     44.59
64                     44.84
128                    44.90
256                    45.21
512                    45.65
1024                   43.35
2048                   43.60
4096                   44.21
8192                   44.32
16384                  44.67
32768                  44.96
65536                  46.14
131072                 63.72
262144                 66.53
524288                 73.22
1048576                85.35
