# OSU NCCL-CUDA All-to-All Personalized Exchange Latency Test v7.5.2
# Size       Avg Latency(us)
1                     187.74
2                     184.41
4                     183.82
8                     183.36
16                    183.53
32                    183.40
64                    182.27
128                   183.01
256                   172.94
512                   173.33
1024                  175.96
2048                  178.85
4096                  184.13
8192                  186.19
16384                 200.66
32768                 250.57
65536                 428.74
131072                706.49
262144               1340.22
524288               2607.23
1048576              6638.58
