# OSU MPI All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      29.48
2                      29.70
4                      29.26
8                      29.35
16                     29.17
32                     29.50
64                     30.39
128                    30.61
256                    53.44
512                    54.53
1024                   62.89
2048                   63.01
4096                   64.09
8192                   64.97
16384                  66.27
32768                  68.30
65536                  70.86
131072                 76.24
262144                102.58
524288                335.77
1048576               620.57
