# OSU MPI-CUDA All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                     187.58
2                     186.92
4                     186.93
8                     190.11
16                    190.91
32                    214.71
64                    239.74
128                   235.26
256                   237.03
512                   241.63
1024                  151.57
2048                  159.75
4096                  174.56
8192                  443.23
16384                 454.03
32768                 279.38
65536                 233.98
131072                525.33
262144               1066.23
524288               2200.77
1048576              4111.95
