# OSU MPI Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      20.94
8                      21.77
16                     20.71
32                     20.83
64                     20.70
128                    21.98
256                    26.61
512                    42.28
1024                   63.12
2048                   69.08
4096                  115.58
8192                  121.79
16384                 128.47
32768                 135.03
65536                 146.91
131072                171.68
262144                236.36
524288                438.19
1048576               869.36
