# OSU NCCL-CUDA Allreduce Latency Test v7.5.2
# Size       Avg Latency(us)
4                      38.20
8                      37.81
16                     37.68
32                     37.73
64                     41.44
128                    41.76
256                    42.09
512                    42.73
1024                   44.13
2048                   45.88
4096                   49.43
8192                   54.84
16384                  62.13
32768                  77.02
65536                 109.66
131072                 91.72
262144                115.23
524288                211.81
1048576               518.34
