# OSU MPI-CUDA Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      44.57
8                      43.03
16                     43.29
32                     43.04
64                     43.23
128                    44.64
256                    49.69
512                    50.57
1024                   72.86
2048                   79.40
4096                  124.31
8192                  128.88
16384                 138.02
32768                 140.55
65536                 153.90
131072                160.63
262144                164.42
524288                206.93
1048576               222.82
