# OSU NCCL-CUDA Allreduce Latency Test v7.5.2
# Size       Avg Latency(us)
4                      45.87
8                      45.59
16                     45.17
32                     45.26
64                     50.07
128                    51.17
256                    51.13
512                    52.54
1024                   53.70
2048                   55.73
4096                   60.94
8192                   66.78
16384                  77.45
32768                  96.04
65536                 139.87
131072                109.98
262144                136.68
524288                243.43
1048576               465.51
